,avg
P_2_last_round2,0.07425117
P_2_last,0.0674222
B_37_last,0.015266473
B_37_last_round2,0.012296939
R_2_last,0.011056627
P_2_mean_round2,0.006726444
R_1_last_round2,0.0052410057
S_3_mean_round2,0.0038162693
B_33_last,0.0032116403
B_9_last_round2,0.0031123285
B_3_max_round2,0.0027480708
B_9_last,0.0027220214
B_33_mean_round2,0.0026816525
R_2_max,0.0024961145
B_3_last_round2,0.0024274064
D_130_std_round2,0.0023284208
D_41_last_round2,0.002217945
D_111_mean_round2,0.002207437
R_3_mean_round2,0.0020253195
D_49_last,0.001989782
D_45_max,0.001946111
D_48_last_round2,0.001944103
D_39_last_round2,0.0019262054
D_41_last_mean_diff,0.0018946033
R_27_max_round2,0.0018737866
R_5_last_round2,0.00182539
R_3_mean,0.0017846598
D_131_max_round2,0.0017837741
D_49_mean_round2,0.0016995331
S_23_last_round2,0.0016915723
D_44_mean,0.0016458275
B_3_last,0.0016266837
S_3_mean,0.0015879428
B_22_last,0.0015785004
D_45_max_round2,0.0015681471
B_4_last_mean_diff,0.0015660373
R_1_last,0.00156334
B_21_std_round2,0.0015207228
R_1_mean_round2,0.0014644976
D_111_last,0.001440407
B_15_max_round2,0.0014119775
D_120_last,0.0013994095
D_39_max_round2,0.0013884163
R_21_mean,0.0013791436
D_65_last,0.0013464012
D_49_last_mean_diff,0.0013382834
B_33_mean,0.0013070296
B_3_max,0.0012962829
D_65_mean,0.0012922443
B_8_mean,0.0012650937
D_112_last_round2,0.0012130743
B_15_mean_round2,0.0012098188
B_4_last,0.0012042053
D_111_mean,0.0011946834
B_3_last_mean_diff,0.0011860693
S_7_mean_round2,0.0011787242
B_8_mean_round2,0.0011748193
D_50_mean_round2,0.0011694479
D_54_last_round2,0.0011666968
D_43_last_round2,0.0011538968
D_49_max,0.0011537356
R_27_min_round2,0.0011403747
D_65_max,0.0011343971
D_51_mean,0.0011239479
B_23_last,0.0011230605
D_54_std_round2,0.0011209237
S_3_last,0.001115391
B_26_std_round2,0.0011114158
D_111_std,0.0011035884
D_39_last,0.0011033732
S_16_max_round2,0.0011022544
D_44_last_mean_diff,0.0010889897
R_11_last,0.0010815029
D_140_min_round2,0.0010811572
R_3_last,0.0010807832
B_10_last,0.001079701
R_27_max,0.0010750116
D_44_last_round2,0.0010674141
D_43_last,0.0010621239
B_5_last_round2,0.0010516664
D_48_last,0.0010512127
D_83_diff1,0.0010439601
R_3_max,0.0010401543
D_81_mean_round2,0.0010279454
D_65_std_round2,0.0010199464
D_66_last,0.0010199224
B_36_last_round2,0.001012203
D_39_last_mean_diff,0.0010100693
R_16_min,0.001008807
D_81_max,0.0010032762
B_38_count,0.0010021488
D_45_last,0.0009907571
R_14_max_round2,0.0009895336
P_2_mean,0.0009865804
R_2_last_mean_diff,0.000985021
S_3_max_round2,0.0009795268
D_45_mean,0.00097388454
D_51_last,0.0009674077
D_65_mean_round2,0.0009600607
D_49_std,0.0009591168
